date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2009,55,82,0,0,0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2009,59,79,0.02,0,0,7.83,220,17,220,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/14/2009,46.9,61,0.14,0,0,8.72,40,14.99,50,21.03,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2009,45,57.9,0,0,0,6.26,30,14.09,40,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/2009,48,68,0,0,0,5.82,80,14.99,70,17.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2009,37.9,71.1,0,0,0,2.01,20,8.05,290,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
